Time Difference (s),Nodes,State,Backfilled
3593,32,COMPLETED,yes
3577,1,FAILED,yes
7072,1,COMPLETED,yes
1591,1,FAILED,yes
-14,1,TIMEOUT,yes
6000,1,COMPLETED,yes
3415,32,COMPLETED,yes
3594,1,FAILED,yes
3593,1,FAILED,yes
3593,1,FAILED,yes
1257,32,COMPLETED,yes
3593,2,FAILED,yes
3588,2,FAILED,yes
7200,0,CANCELLED by 17873,no
3594,2,FAILED,yes
7101,32,FAILED,yes
3587,2,FAILED,yes
6704,1,CANCELLED by 17205,yes
3600,0,CANCELLED by 17873,no
6992,1,CANCELLED by 17205,yes
1787,1,COMPLETED,yes
125,1,FAILED,yes
-17,1,TIMEOUT,yes
252,1,CANCELLED by 17581,yes
252,1,CANCELLED by 17581,yes
1786,1,COMPLETED,yes
1784,1,COMPLETED,yes
-27,1,TIMEOUT,yes
653,30,FAILED,yes
-7,32,TIMEOUT,yes
673,30,FAILED,yes
7200,0,CANCELLED by 16491,no
812,30,FAILED,yes
761,30,FAILED,yes
3600,0,CANCELLED by 18306,no
902,1,CANCELLED by 18306,yes
296,2,COMPLETED,yes
-21,32,TIMEOUT,yes
6601,24,COMPLETED,yes
2287,1,COMPLETED,yes
2330,1,COMPLETED,yes
2343,1,COMPLETED,yes
2212,1,COMPLETED,yes
2141,1,COMPLETED,yes
570,30,FAILED,yes
165,1,FAILED,yes
-7,1,TIMEOUT,yes
-12,256,TIMEOUT,yes
14351,384,FAILED,yes
263,32,CANCELLED by 17873,yes
8891,384,NODE_FAIL,yes
3600,0,CANCELLED by 18306,no
1520,1,COMPLETED,yes
7145,1,COMPLETED,yes
2300,1,COMPLETED,yes
2284,1,COMPLETED,yes
2286,1,COMPLETED,yes
2070,1,COMPLETED,yes
2315,1,COMPLETED,yes
2298,1,COMPLETED,yes
2167,1,COMPLETED,yes
2191,1,COMPLETED,yes
2193,1,COMPLETED,yes
2323,1,COMPLETED,yes
2199,1,COMPLETED,yes
2210,1,COMPLETED,yes
2316,1,COMPLETED,yes
2274,1,COMPLETED,yes
2231,1,COMPLETED,yes
3247,96,COMPLETED,yes
1785,1,FAILED,yes
9129,105,NODE_FAIL,yes
-20,20,TIMEOUT,yes
7025,1,COMPLETED,yes
1786,1,FAILED,yes
230,2,COMPLETED,yes
1788,1,FAILED,yes
1787,1,FAILED,yes
163,2,COMPLETED,yes
7055,16,COMPLETED,yes
1800,0,CANCELLED by 15360,no
7013,1,COMPLETED,yes
1771,1,FAILED,yes
6689,4,COMPLETED,yes
