Diffsec,Nodes,State,Backfilled
1700,113,COMPLETED,no
1647,111,COMPLETED,no
1703,108,COMPLETED,no
1704,109,COMPLETED,no
1704,109,COMPLETED,no
1704,109,COMPLETED,no
1704,105,COMPLETED,no
1704,109,COMPLETED,no
1703,109,COMPLETED,no
1703,111,COMPLETED,no
1703,111,COMPLETED,no
1703,111,COMPLETED,no
1702,111,COMPLETED,no
1703,109,COMPLETED,no
1705,111,COMPLETED,no
1719,110,COMPLETED,no
1637,110,COMPLETED,no
1719,109,COMPLETED,no
1705,110,COMPLETED,no
1704,106,COMPLETED,no
1704,112,COMPLETED,no
1708,111,COMPLETED,no
1704,108,COMPLETED,no
1703,110,COMPLETED,no
1531,105,COMPLETED,no
1708,110,COMPLETED,no
1702,110,COMPLETED,no
1703,111,COMPLETED,no
1702,112,COMPLETED,no
1704,111,COMPLETED,no
1704,110,COMPLETED,no
1662,108,COMPLETED,no
1705,107,COMPLETED,no
1702,110,COMPLETED,no
1702,109,COMPLETED,no
1704,107,COMPLETED,no
1705,108,COMPLETED,no
1705,108,COMPLETED,no
1705,111,COMPLETED,no
1705,111,COMPLETED,no
1704,109,COMPLETED,no
1705,110,COMPLETED,no
1705,109,COMPLETED,no
1705,110,COMPLETED,no
1650,112,COMPLETED,no
1705,112,COMPLETED,no
1698,112,COMPLETED,no
1704,112,COMPLETED,no
1705,107,COMPLETED,no
1607,112,COMPLETED,no
1705,110,COMPLETED,no
1705,111,COMPLETED,no
1688,111,COMPLETED,no
1705,111,COMPLETED,no
1705,111,COMPLETED,no
1695,106,COMPLETED,no
1694,112,COMPLETED,no
1705,110,COMPLETED,no
1705,111,COMPLETED,no
1705,111,COMPLETED,no
1705,111,COMPLETED,no
1706,107,COMPLETED,no
1705,112,COMPLETED,no
1705,107,COMPLETED,no
1639,108,COMPLETED,no
1705,111,COMPLETED,no
1706,107,COMPLETED,no
1706,102,COMPLETED,no
1646,101,COMPLETED,no
1706,103,COMPLETED,no
1653,111,COMPLETED,no
1694,112,COMPLETED,no
1699,108,COMPLETED,no
1707,112,COMPLETED,no
1705,113,COMPLETED,no
1705,111,COMPLETED,no
1705,108,COMPLETED,no
1707,109,COMPLETED,yes
1707,109,COMPLETED,yes
1706,109,COMPLETED,yes
1664,105,COMPLETED,yes
1707,109,COMPLETED,yes
1707,109,COMPLETED,yes
1665,111,COMPLETED,yes
1706,111,COMPLETED,yes
1706,111,COMPLETED,yes
1706,111,COMPLETED,yes
1706,109,COMPLETED,yes
1709,111,COMPLETED,no
1708,110,COMPLETED,no
1709,110,COMPLETED,no
1708,109,COMPLETED,no
